# 网络用语与聊天短语候选表（起草，待维护者审）。2026-09-22，收词标准、次数档位与接入命令见同目录 README.md。
# 来源：起草者自身的中文互联网知识，没有抄任何外部词表，无许可约束；每条都对着 dict.tsv / lm-unigram.tsv / phrases.tsv / common_words.tsv / domain_words.tsv 标了现状。
# 建议次数与 dict.tsv 词频同一尺度。汉字词三档：低 20、中 200、高 2000；中英混杂另按 mixed_words.tsv 的尺度：低 300、中 2000、高 8000。
# gaps 合成次数高于档位值时取合成次数（与 common_words.tsv 的做法一致）。词库现状为「已有」的默认不进（supplement 会跳过已有词），保留在表里供比对。
词	拼音	类别	说明	建议次数	词库现状
真的吗	zhen de ma	chat	求证	-	已有（词库 1787，模型 781，来自短语层）
什么情况	shen me qing kuang	chat	问发生了什么	-	已有（词库 5621，模型 5694，来自短语层）
啥情况	sha qing kuang	chat	口语问发生了什么	2000	缺（合成 1162）
咋回事	za hui shi	chat	问缘由	2000	缺（合成 1963）
怎么回事	zen me hui shi	chat	问缘由	-	已有（词库 5793，模型 5900，来自短语层）
怎么了	zen me le	chat	关心对方	-	已有（词库 29687，模型 29846，来自短语层）
不至于	bu zhi yu	chat	觉得没那么严重	-	已有（词库 3970，模型 4574）
没必要	mei bi yao	chat	觉得不用这样	-	已有（词库 5117，模型 5340，来自短语层）
想多了	xiang duo le	chat	说对方过度联想	-	已有（词库 893，模型 526，来自短语层）
你想多了	ni xiang duo le	chat	说对方过度联想	200	缺（合成 22）
随便说说	sui bian shuo shuo	chat	表示不必当真	200	缺（合成 14）
开玩笑的	kai wan xiao de	chat	说明只是玩笑	-	已有（词库 3085，模型 3300，来自短语层）
逗你的	dou ni de	chat	说明只是玩笑	200	缺（合成 129）
别闹	bie nao	chat	让对方别胡闹	-	已有（词库 4738，模型 4805）
别急	bie ji	chat	安抚对方	-	已有（词库 2338，模型 2348）
慢慢来	man man lai	chat	让对方别赶	-	已有（词库 6164，模型 6229，来自短语层）
不着急	bu zhao ji	chat	表示不催	-	已有（词库 2578，模型 2592，来自短语层）
不急	bu ji	chat	表示不催	-	已有（词库 5564，模型 5654，来自短语层）
不清楚	bu qing chu	chat	表示不了解	-	已有（词库 9085，模型 13061，来自短语层）
没想到	mei xiang dao	chat	表示意外	-	已有（词库 624，模型 739，来自短语层）
怪不得	guai bu de	chat	恍然明白	-	已有（词库 5938，模型 5956）
原来是这样	yuan lai shi zhe yang	chat	听懂来龙去脉	200	缺（合成 42）
也是	ye shi	chat	轻度附和	-	已有（词库 289391，模型 424508）
说得也是	shuo de ye shi	chat	被说服了	200	缺（合成 7）
没毛病	mei mao bing	chat	表示挑不出问题	-	已有（词库 9586，模型 9586，来自短语层）
有点难	you dian nan	chat	表示不容易	1387	缺（合成 1387）
不太行	bu tai xing	chat	委婉否定	200	缺（合成 129）
应该可以	ying gai ke yi	chat	不太确定的同意	-	已有（词库 2456，模型 2640，来自短语层）
应该没事	ying gai mei shi	chat	不太确定的安慰	502	缺（合成 502）
看情况	kan qing kuang	chat	不给准话	-	已有（词库 2059，模型 2107，来自短语层）
看着办	kan zhe ban	chat	让对方自己决定	-	已有（词库 1293，模型 1300，来自补充常用词）
再看看	zai kan kan	chat	暂不决定	-	已有（词库 734，来自短语层）
到时候再说	dao shi hou zai shuo	chat	推到以后	2000	缺（合成 23）
以后再说	yi hou zai shuo	chat	推到以后	334	缺（合成 334）
不管了	bu guan le	chat	放弃纠结	2000	缺（合成 1460）
无所谓	wu suo wei	chat	表示都可以	-	已有（词库 6788，模型 7196）
太难了	tai nan le	chat	抱怨事情不容易	-	已有（词库 334，模型 244，来自短语层）
太好了	tai hao le	chat	表示高兴	-	已有（词库 1141，模型 1133，来自短语层）
这会儿	zhe hui er	chat	指现在这段时间	-	已有（词库 1536，模型 1540）
那会儿	na hui er	chat	指过去某段时间	-	已有（词库 1977，模型 1986）
一会儿	yi hui er	chat	指很短的时间	-	已有（词库 8257，模型 8631）
过会儿	guo hui er	chat	指稍后	2000	缺（成分拆不出，无合成次数）
今儿	jin er	chat	口语说今天	-	已有（词库 4714，模型 4729）
明儿	ming er	chat	口语说明天	-	已有（词库 3615，模型 3633）
昨儿	zuo er	chat	口语说昨天	-	已有（词库 1211，模型 1217）
今儿个	jin er ge	chat	口语说今天	324	缺（合成 324）
明儿见	ming er jian	chat	明天再见	213	缺（合成 213）
有点儿	you dian er	chat	表示程度轻	-	已有（词库 3351，模型 3394）
好玩儿	hao wan er	chat	觉得有意思	-	已有（词库 1453，模型 1456）
一块儿	yi kuai er	chat	表示一起	-	已有（词库 1224，模型 1265）
大伙儿	da huo er	chat	称呼一群人	-	已有（词库 148，模型 181）
哥们儿	ge men er	chat	称呼男性朋友	-	已有（词库 987，模型 1002）
姐们儿	jie men er	chat	称呼女性朋友	-	已有（词库 253，模型 254，来自补充常用词）
爷们儿	ye men er	chat	称呼男性	-	已有（词库 575，模型 582）
挺好的	ting hao de	chat	表示还不错	-	已有（词库 19403，模型 19433，来自短语层）
还行吧	hai xing ba	chat	勉强满意	-	已有（词库 826，模型 450，来自短语层）
还行	hai xing	chat	表示一般偏好	-	已有（词库 16566，模型 16590，来自短语层）
凑合	cou he	chat	勉强能接受	-	已有（词库 2949，模型 3072）
凑合吧	cou he ba	chat	勉强能接受	284	缺（合成 284）
凑合着	cou he zhe	chat	将就着做	311	缺（合成 311）
将就	jiang jiu	chat	降低要求接受	-	已有（词库 2864，模型 3045）
将就一下	jiang jiu yi xia	chat	请对方降低要求	128	缺（合成 128）
差不多	cha bu duo	chat	表示接近	-	已有（词库 37246，模型 40208）
差不多吧	cha bu duo ba	chat	含糊肯定	1995	缺（合成 1995）
差不多了	cha bu duo le	chat	快完成了	-	已有（词库 4598，模型 4626，来自短语层）
没劲儿	mei jin er	chat	觉得无趣	102	缺（合成 102）
小事儿	xiao shi er	chat	表示不值一提	207	缺（合成 207）
没门儿	mei men er	chat	断然拒绝	-	已有（词库 34，模型 34）
差点儿	cha dian er	chat	表示险些	-	已有（词库 412，模型 440）
玩意儿	wan yi er	chat	口语指东西	-	已有（词库 2232，模型 2324）
压根儿	ya gen er	chat	表示从来没有	-	已有（词库 236，模型 258）
慢点儿	man dian er	chat	叮嘱对方放慢	200	缺（合成 50）
快点儿	kuai dian er	chat	催促对方	-	已有（词库 303，模型 309，来自补充常用词）
待一会儿	dai yi hui er	chat	停留一小段时间	200	缺（合成 32）
不一会儿	bu yi hui er	chat	表示很快	92	缺（合成 92）
好好儿	hao hao er	chat	口语强调认真	88	缺（合成 88）
对齐	dui qi	work	互联网黑话，统一大家的认识	-	已有（词库 302，模型 1095，来自领域词）
对齐一下	dui qi yi xia	work	互联网黑话，开口先说这句	2000	缺（成分拆不出，无合成次数）
拉通	la tong	work	互联网黑话，打通多个团队	2000	缺（合成 92）
拉齐	la qi	work	互联网黑话，把信息拉到同一层	691	缺（合成 691）
心智	xin zhi	work	互联网黑话，指用户认知	-	已有（词库 762，模型 2470）
打法	da fa	work	互联网黑话，指做事策略	-	已有（词库 373，模型 1157，来自补充常用词）
生态	sheng tai	work	互联网黑话，指上下游全局	-	已有（词库 3736，模型 26708）
链路	lian lu	work	互联网黑话，也指调用全过程	-	已有（词库 149，模型 1061）
沉淀	chen dian	work	互联网黑话，把经验留下来	-	已有（词库 1281，模型 3280）
复用	fu yong	work	互联网黑话，也指代码重用	-	已有（词库 87，模型 676）
组合拳	zu he quan	work	互联网黑话，多个手段一起上	200	缺（合成 19）
方法论	fang fa lun	work	互联网黑话，一套通用做法	-	已有（词库 201，模型 1193）
护城河	hu cheng he	work	互联网黑话，指竞争壁垒	-	已有（词库 329，模型 1472）
顶层设计	ding ceng she ji	work	互联网黑话，指上层规划	200	缺（合成 39）
底层逻辑	di ceng luo ji	work	互联网黑话，指根本道理	2000	缺（成分拆不出，无合成次数）
认知升级	ren zhi sheng ji	work	互联网黑话，指想法更新	20	缺（成分拆不出，无合成次数）
降本增效	jiang ben zeng xiao	work	互联网黑话，省钱又提速	2000	缺（成分拆不出，无合成次数）
提效	ti xiao	work	互联网黑话，提高效率	2000	缺（成分拆不出，无合成次数）
确定性	que ding xing	work	互联网黑话，指可预期的结果	2581	缺（合成 2581）
强背书	qiang bei shu	work	互联网黑话，有大人物站台	20	缺（成分拆不出，无合成次数）
做深做透	zuo shen zuo tou	work	互联网黑话，把一件事做到底	20	缺（成分拆不出，无合成次数）
落地	luo di	work	互联网黑话，把想法真做出来	-	已有（词库 2603，模型 5227）
对标	dui biao	work	互联网黑话，跟同类产品比	200	缺（合成 148）
全链路	quan lian lu	work	互联网黑话，从头到尾整条路	200	缺（成分拆不出，无合成次数）
端到端	duan dao duan	work	互联网黑话，从起点到终点打通	200	缺词库，模型有（197 次）
精细化	jing xi hua	work	互联网黑话，做得更细	200	缺（合成 79）
数据驱动	shu ju qu dong	work	互联网黑话，用数据做决定	200	缺（成分拆不出，无合成次数）
卡位	ka wei	work	互联网黑话，抢占位置	129	缺（合成 129）
势能	shi neng	work	互联网黑话，指积累的优势	-	已有（词库 84，模型 874）
用户心智	yong hu xin zhi	work	互联网黑话，用户心里的印象	20	缺（成分拆不出，无合成次数）
双赢	shuang ying	work	互联网黑话，两边都得好处	-	已有（词库 198，模型 400）
增长	zeng zhang	work	互联网黑话，指用户或收入变多	-	已有（词库 4889，模型 25014）
转化	zhuan hua	work	互联网黑话，用户变成付费	-	已有（词库 1848，模型 10323）
留存	liu cun	work	互联网黑话，用户继续用	-	已有（词库 530，模型 2147）
拉新	la xin	work	互联网黑话，拉来新用户	-	已有（词库 26，模型 37，来自补充常用词）
促活	cu huo	work	互联网黑话，让用户更活跃	200	缺（成分拆不出，无合成次数）
拉个会	la ge hui	work	临时召集大家开会	2000	缺（成分拆不出，无合成次数）
约个会	yue ge hui	work	约时间开会	200	缺（合成 3）
同步一下	tong bu yi xia	work	互相通个气	2000	缺（成分拆不出，无合成次数）
碰一下	peng yi xia	work	约着简单聊聊	2000	缺（合成 140）
过一下	guo yi xia	work	快速看一遍	2000	缺（合成 188）
对一下	dui yi xia	work	核对一下信息	2000	缺（合成 46）
复盘一下	fu pan yi xia	work	提议事后做总结	2000	缺（成分拆不出，无合成次数）
周会	zhou hui	work	每周的例会	2000	缺（合成 215）
日会	ri hui	work	每天的短会	1051	缺（合成 1051）
站会	zhan hui	work	站着开的短会	2000	缺（合成 250）
双周会	shuang zhou hui	work	两周一次的会	200	缺（成分拆不出，无合成次数）
月会	yue hui	work	每月的例会	531	缺（合成 531）
评审	ping shen	work	集体审查方案	-	已有（词库 3259，模型 13969）
需求评审	xu qiu ping shen	work	评审产品需求	2000	缺词库，模型有（1 次）
技术评审	ji shu ping shen	work	评审技术方案	2000	缺（合成 28）
走查	zou cha	work	逐条检查一遍	200	缺（成分拆不出，无合成次数）
会议纪要	hui yi ji yao	work	会后的文字记录	2000	缺（合成 217）
待办	dai ban	work	还没做的事	-	已有（词库 21，模型 52）
跟进	gen jin	work	继续推动某件事	-	已有（词库 1083，模型 3503）
跟进一下	gen jin yi xia	work	请人继续推动	2000	缺（成分拆不出，无合成次数）
推进	tui jin	work	把事情往前推	-	已有（词库 4582，模型 20914）
排期	pai qi	work	安排时间计划	-	已有（词库 127，模型 255，来自补充常用词）
优先级	you xian ji	work	事情的先后顺序	-	已有（词库 172，模型 729）
加塞	jia sai	work	临时插进来的活	200	缺（合成 108）
插需求	cha xu qiu	work	中途临时加需求	200	缺（成分拆不出，无合成次数）
对焦	dui jiao	work	把目标聊清楚	-	已有（词库 1047，模型 2308）
拍板	pai ban	work	负责人做最后决定	-	已有（词库 85，模型 435）
拉群	la qun	work	建群把人拉进来	2000	缺（合成 57）
建个群	jian ge qun	work	提议开一个群	200	缺（成分拆不出，无合成次数）
同步给你	tong bu gei ni	work	把信息发给对方	200	缺（成分拆不出，无合成次数）
抄送	chao song	work	邮件同时抄给别人	-	已有（词库 38，模型 72）
知会	zhi hui	work	提前告诉一声	-	已有（词库 204，模型 629）
报备	bao bei	work	提前打招呼登记	-	已有（词库 260，模型 620）
汇报	hui bao	work	向上说明进展	-	已有（词库 2477，模型 6656）
述职	shu zhi	work	定期讲自己的成果	-	已有（词库 114，模型 340）
周报	zhou bao	work	每周的工作小结	-	已有（词库 546，模型 2236）
日报	ri bao	work	每天的工作小结	-	已有（词库 6236，模型 31023）
月报	yue bao	work	每月的工作小结	-	已有（词库 89，模型 509）
季度总结	ji du zong jie	work	一个季度的总结	200	缺（成分拆不出，无合成次数）
在忙吗	zai mang ma	work	问对方忙不忙	200	缺（合成 52）
麻烦你	ma fan ni	work	请人帮忙的客气话	-	已有（词库 2386，模型 2415，来自短语层）
帮我看下	bang wo kan xia	work	请同事帮忙看看	2000	缺（成分拆不出，无合成次数）
发我一下	fa wo yi xia	work	请对方把东西发来	2000	缺（成分拆不出，无合成次数）
安排一下	an pai yi xia	work	请人去办这件事	218	缺（合成 218）
请教一下	qing jiao yi xia	work	客气地问问题	671	缺（合成 671）
会议室	hui yi shi	work	订会议室时说	-	已有（词库 436，模型 2102，来自补充常用词）
对齐会	dui qi hui	work	专门统一认识的会	20	缺（成分拆不出，无合成次数）
例会	li hui	work	固定时间的会	-	已有（词库 170，模型 391）
启动会	qi dong hui	work	项目开始时的会	200	缺（合成 28）
头脑风暴	tou nao feng bao	work	集体一起想点子	200	缺（合成 91）
会后同步	hui hou tong bu	work	会开完再通气	20	缺（成分拆不出，无合成次数）
提测	ti ce	work	开发完交给测试	2000	缺（成分拆不出，无合成次数）
联调	lian tiao	work	两边一起调试	-	已有（词库 86，模型 339，读音不同：lian diao，来自补充常用词）
自测	zi ce	work	自己先测一遍	-	已有（词库 13，模型 48）
冒烟	mao yan	work	上线前的基本验证	-	已有（词库 422，模型 824）
冒烟测试	mao yan ce shi	work	最基本的通过性测试	200	缺词库，模型有（26 次）
灰度	hui du	work	先给一小部分人用	2000	缺（成分拆不出，无合成次数）
放量	fang liang	work	逐步扩大使用范围	2000	缺（成分拆不出，无合成次数）
全量	quan liang	work	所有用户都用上	2000	缺（合成 17）
上线	shang xian	work	发到线上给用户用	-	已有（词库 6090，模型 12257）
回滚	hui gun	work	退回上一个版本	2000	缺词库，模型有（112 次）
发版	fa ban	work	发布新版本	-	已有（词库 20，模型 12，来自补充常用词）
打包	da bao	work	构建出安装包	-	已有（词库 6966，模型 7526）
部署	bu shu	work	把服务装到机器上	-	已有（词库 2879，模型 13961）
上生产	shang sheng chan	work	发到正式环境	200	缺（合成 106）
切流量	qie liu liang	work	把请求导到别处	200	缺（成分拆不出，无合成次数）
扩容	kuo rong	work	加机器加资源	-	已有（词库 98，模型 352）
缩容	suo rong	work	减机器省资源	200	缺（成分拆不出，无合成次数）
重启	chong qi	work	把服务重新启动	-	已有（词库 2568，模型 5663）
重跑	chong pao	work	把任务再跑一次	2000	缺（合成 27）
回归	hui gui	work	改完再测老功能	-	已有（词库 10478，模型 29137）
回归测试	hui gui ce shi	work	验证老功能没坏	200	缺词库，模型有（38 次）
验收	yan shou	work	需求方确认结果	-	已有（词库 761，模型 2544）
提单	ti dan	work	提一个工作单	-	已有（词库 3，模型 39）
提工单	ti gong dan	work	走流程提申请	200	缺（成分拆不出，无合成次数）
开单	kai dan	work	新建一个单子	110	缺（合成 110）
关单	guan dan	work	把单子关掉	20	缺（成分拆不出，无合成次数）
走查代码	zou cha dai ma	work	逐行看别人代码	200	缺（成分拆不出，无合成次数）
提交代码	ti jiao dai ma	work	把改动交上去	2000	缺词库，模型有（8 次）
合代码	he dai ma	work	把分支并进去	2000	缺（成分拆不出，无合成次数）
拉分支	la fen zhi	work	从主干新开分支	2000	缺（成分拆不出，无合成次数）
开分支	kai fen zhi	work	新建一个分支	200	缺（成分拆不出，无合成次数）
合分支	he fen zhi	work	把分支合并掉	2000	缺（成分拆不出，无合成次数）
解冲突	jie chong tu	work	处理代码冲突	2000	缺（成分拆不出，无合成次数）
打标签	da biao qian	work	给版本打个标记	200	缺（成分拆不出，无合成次数）
改需求	gai xu qiu	work	需求中途变了	2000	缺（成分拆不出，无合成次数）
改方案	gai fang an	work	换一套做法	944	缺（合成 944）
返工	fan gong	work	推翻重做一遍	-	已有（词库 147，模型 244）
兜底	dou di	work	出问题时的保底做法	-	已有（词库 25，模型 52）
埋点	mai dian	work	加数据采集代码	-	已有（词库 20，模型 19，来自补充常用词）
监控	jian kong	work	盯着系统的指标	-	已有（词库 2657，模型 6905）
告警	gao jing	work	系统自动报异常	-	已有（词库 55，模型 249）
报警	bao jing	work	系统发出警报	-	已有（词库 4763，模型 6833）
值班	zhi ban	work	轮流盯线上	-	已有（词库 3818，模型 4651）
排查	pai cha	work	一步步找原因	-	已有（词库 427，模型 1240）
定位问题	ding wei wen ti	work	找到出错的地方	2000	缺词库，模型有（46 次）
复现	fu xian	work	把问题重新弄出来	-	已有（词库 48，模型 164）
复现一下	fu xian yi xia	work	请对方再操作一遍	200	缺（成分拆不出，无合成次数）
线上问题	xian shang wen ti	work	正式环境出的问题	2000	缺（成分拆不出，无合成次数）
故障	gu zhang	work	系统坏了	-	已有（词库 2545，模型 10569）
事故	shi gu	work	造成影响的严重故障	-	已有（词库 9555，模型 40711）
止血	zhi xue	work	先把影响压下去	-	已有（词库 101，模型 616）
临时方案	lin shi fang an	work	先顶一阵的做法	200	缺（成分拆不出，无合成次数）
技术债	ji shu zhai	work	欠下的烂代码	2000	缺词库，模型有（1 次）
重构	chong gou	work	不改功能整理代码	-	已有（词库 289，模型 1103）
性能优化	xing neng you hua	work	让程序跑得更快	2000	缺词库，模型有（42 次）
调优	tiao you	work	调参数让性能更好	200	缺（成分拆不出，无合成次数）
压测	ya ce	work	用大流量测承受力	200	缺（成分拆不出，无合成次数）
性能瓶颈	xing neng ping jing	work	拖慢整体的那一环	200	缺词库，模型有（9 次）
调参	tiao can	work	调整参数试效果	200	缺（成分拆不出，无合成次数）
调研	diao yan	work	先去查资料了解	-	已有（词库 470，模型 1656）
提需求	ti xu qiu	work	向开发提要求	2000	缺（成分拆不出，无合成次数）
查日志	cha ri zhi	work	翻日志找线索	2000	缺（成分拆不出，无合成次数）
加日志	jia ri zhi	work	补打印方便排查	200	缺（成分拆不出，无合成次数）
打日志	da ri zhi	work	输出调试信息	200	缺（成分拆不出，无合成次数）
抓包	zhua bao	work	截网络请求来看	-	已有（词库 130，模型 188）
测试环境	ce shi huan jing	work	供测试用的那套	2000	缺词库，模型有（42 次）
预发环境	yu fa huan jing	work	上线前的演练环境	200	缺（成分拆不出，无合成次数）
生产环境	sheng chan huan jing	work	用户真正用的环境	2000	缺词库，模型有（83 次）
本地跑	ben di pao	work	在自己机器上运行	200	缺（成分拆不出，无合成次数）
跑通	pao tong	work	流程从头到尾成功	2000	缺（成分拆不出，无合成次数）
跑不通	pao bu tong	work	流程走不下去	200	缺（成分拆不出，无合成次数）
挂了	gua le	work	服务或程序崩了	-	已有（词库 3735，模型 3886，来自短语层）
炸了	zha le	work	出大问题了	-	已有（词库 3350，模型 3402，来自短语层）
白屏	bai ping	work	页面一片空白	-	已有（词库 20，模型 24，来自补充常用词）
超时	chao shi	work	请求等太久失败	-	已有（词库 440，模型 1140）
内存泄漏	nei cun xie lou	work	内存一直涨不释放	200	缺词库，模型有（51 次）
死锁	si suo	work	两边互相等住了	110	缺词库，模型有（110 次）
掉线	diao xian	work	连接断开了	-	已有（词库 303，模型 333，来自补充常用词）
降级	jiang ji	work	关次要功能保主流程	-	已有（词库 1665，模型 7465）
熔断	rong duan	work	出错太多就先断开	-	已有（词库 95，模型 186）
缓存	huan cun	work	存一份加快访问	-	已有（词库 745，模型 2546）
刷缓存	shua huan cun	work	把旧缓存刷新掉	200	缺（成分拆不出，无合成次数）
清缓存	qing huan cun	work	把缓存删掉重来	-	已有（词库 32，模型 32，来自补充常用词）
同步数据	tong bu shu ju	work	把两边数据对齐	200	缺（合成 19）
刷数据	shua shu ju	work	批量修一批数据	200	缺（合成 47）
洗数据	xi shu ju	work	清理脏数据	200	缺（成分拆不出，无合成次数）
补数据	bu shu ju	work	把缺的数据补上	200	缺（成分拆不出，无合成次数）
建表	jian biao	work	新建数据库表	200	缺（成分拆不出，无合成次数）
改字段	gai zi duan	work	动数据库字段	200	缺（成分拆不出，无合成次数）
加字段	jia zi duan	work	表里增加一列	200	缺（成分拆不出，无合成次数）
接口	jie kou	work	系统之间的调用口	-	已有（词库 1094，模型 5791）
对接	dui jie	work	两边系统接上	-	已有（词库 721，模型 2752）
封版	feng ban	work	停止改动准备发布	200	缺（合成 15）
代码冻结	dai ma dong jie	work	发版前不许再改	20	缺（成分拆不出，无合成次数）
拉代码	la dai ma	work	把最新代码取下来	200	缺（成分拆不出，无合成次数）
合主干	he zhu gan	work	把改动并回主分支	200	缺（成分拆不出，无合成次数）
主干	zhu gan	work	指主分支	-	已有（词库 262，模型 1090）
补测试	bu ce shi	work	把缺的测试加上	200	缺（成分拆不出，无合成次数）
跑测试	pao ce shi	work	执行测试用例	2000	缺（成分拆不出，无合成次数）
打回	da hui	work	不通过退回去改	859	缺（合成 859）
加班	jia ban	work	下班后继续干	-	已有（词库 17155，模型 18307）
通宵	tong xiao	work	干一整夜	-	已有（词库 6049，模型 7469）
连轴转	lian zhou zhuan	work	连着干没停过	-	已有（词库 80，模型 82）
调休	tiao xiu	work	换个时间补休	-	已有（词库 659，模型 705）
请假	qing jia	work	申请不上班	-	已有（词库 6749，模型 7569）
调岗	diao gang	work	换到别的岗位	200	缺（合成 37）
转正	zhuan zheng	work	试用期通过	-	已有（词库 683，模型 854）
试用期	shi yong qi	work	刚入职的考察期	-	已有（词库 237，模型 396）
绩效	ji xiao	work	工作表现的评分	-	已有（词库 385，模型 1520）
考核	kao he	work	定期评定表现	-	已有（词库 811，模型 3388）
晋升	jin sheng	work	升职级	-	已有（词库 4044，模型 15716）
答辩	da bian	work	晋升时当面讲成果	-	已有（词库 4162，模型 4919）
背锅	bei guo	work	替别人担责任	-	已有（词库 1030，模型 1038）
甩锅	shuai guo	work	把责任推给别人	-	已有（词库 251，模型 265）
接锅	jie guo	work	被迫接下责任	200	缺（成分拆不出，无合成次数）
对线	dui xian	work	当面争论起来	200	缺（合成 143）
扯皮	che pi	work	互相推来推去	-	已有（词库 148，模型 171）
没对齐	mei dui qi	work	双方没说到一块	2000	缺（成分拆不出，无合成次数）
老板	lao ban	work	指公司或部门负责人	-	已有（词库 23570，模型 32550）
领导	ling dao	work	指自己的上级	-	已有（词库 21963，模型 101425）
同事	tong shi	work	一起工作的人	-	已有（词库 13619，模型 20243）
下属	xia shu	work	自己带的人	-	已有（词库 7192，模型 33877）
直属	zhi shu	work	指直接上级	-	已有（词库 2709，模型 12981）
面试	mian shi	work	应聘时的问答	-	已有（词库 9119，模型 10904）
面试官	mian shi guan	work	负责面人的人	-	已有（词库 239，模型 331，来自补充常用词）
一面	yi mian	work	第一轮面试	-	已有（词库 7189，模型 16666）
二面	er mian	work	第二轮面试	763	缺（合成 763）
终面	zhong mian	work	最后一轮面试	200	缺（合成 37）
谈薪	tan xin	work	谈工资待遇	200	缺（成分拆不出，无合成次数）
涨薪	zhang xin	work	工资变多	2000	缺（合成 26）
跳槽	tiao cao	work	换一家公司	-	已有（词库 1027，模型 1749）
裸辞	luo ci	work	没找好下家就辞职	200	缺（成分拆不出，无合成次数）
毕业	bi ye	work	指被裁员的委婉说法	-	已有（词库 72861，模型 149074）
优化	you hua	work	指裁员的委婉说法	-	已有（词库 2465，模型 7453）
劳动仲裁	lao dong zhong cai	work	和公司打劳动官司	200	缺（合成 22）
竞业	jing ye	work	离职后不许去同行	200	缺（合成 107）
出差	chu chai	work	去外地办公	-	已有（词库 10504，模型 11336）
同行	tong hang	work	指同一行业的人	-	已有（词库 3591，模型 7627）
入职	ru zhi	work	到公司上班	-	已有（词库 1145，模型 2045）
离职	li zhi	work	从公司离开	-	已有（词库 2148，模型 6283）
交接	jiao jie	work	把工作移交出去	-	已有（词库 824，模型 3214）
裁员	cai yuan	work	公司辞退一批人	-	已有（词库 297，模型 1263）
大小周	da xiao zhou	work	隔周上六天班	200	缺（成分拆不出，无合成次数）
双休	shuang xiu	work	周末休两天	-	已有（词库 1562，模型 1572）
团建	tuan jian	work	公司组织的集体活动	2000	缺（合成 169）
背景调查	bei jing diao cha	work	入职前查经历	83	缺（合成 83）
年终奖	nian zhong jiang	work	年底发的奖金	2000	缺（成分拆不出，无合成次数）
老油条	lao you tiao	work	说人老到会躲活	-	已有（词库 265，模型 275）
新人	xin ren	work	刚来的同事	-	已有（词库 6534，模型 23954）
带新人	dai xin ren	work	教刚来的同事	200	缺（合成 39）
向上管理	xiang shang guan li	work	管好和上级的关系	20	缺（成分拆不出，无合成次数）
画饼	hua bing	work	只给承诺不兑现	2000	缺（合成 93）
工位	gong wei	work	自己的座位	-	已有（词库 91，模型 155）
居家办公	ju jia ban gong	work	在家上班	200	缺（合成 96）
远程	yuan cheng	work	不在办公室工作	-	已有（词库 1298，模型 4190）
到点下班	dao dian xia ban	work	准时走人	200	缺（合成 1）
催一下	cui yi xia	work	提醒对方快一点	2000	缺（合成 77）
等回复	deng hui fu	work	在等对方答复	200	缺（合成 52）
OKR	o k r	mixed	目标与关键结果，考核用	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
PPT	p p t	mixed	汇报用的演示文稿	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
TODO	t o d o	mixed	待办事项	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
DDL	d d l	mixed	最后期限	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
PRD	p r d	mixed	产品需求文档	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
MVP	m v p	mixed	最小可用版本	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
ROI	r o i	mixed	投入产出比	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
GMV	g m v	mixed	成交总额	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
DAU	d a u	mixed	日活用户数	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
MAU	m a u	mixed	月活用户数	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
PV	p v	mixed	页面浏览量	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
UV	u v	mixed	独立访客数	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
CTO	c t o	mixed	技术负责人	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
CEO	c e o	mixed	公司一把手	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
PM	p m	mixed	产品经理或项目经理	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
QA	q a	mixed	测试同学	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
RD	r d	mixed	研发同学	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
UI	u i	mixed	界面设计或设计师	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
HR	h r	mixed	人力资源同事	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
OA	o a	mixed	办公审批系统	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
SOP	s o p	mixed	标准作业流程	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
API	a p i	mixed	程序调用接口	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
SDK	s d k	mixed	开发工具包	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
CI	c i	mixed	持续集成	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
CD	c d	mixed	持续部署	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
